position,bowler,team,matches,innings,wickets,economy,impact,bbi,overs,balls,dot_balls,runs,avg,4wh,5wh
1,Prasidh Krishna,GT,5,5,11,9.2,258.7,4--28,20,120,48,184,16.72,1,0
2,Anshul Kamboj,CSK,5,5,10,10.12,206.8,3--35,18.4,112,43,189,18.9,0,0
3,Prince Yadav,LSG,5,5,9,9.11,219.5,3--32,18,108,44,164,18.22,0,0
4,Ravi Bishnoi,RR,5,5,9,9.31,203.7,4--41,16,96,28,149,16.55,1,0
5,Jofra Archer,RR,5,5,7,8.47,213.1,2--19,17,102,49,144,20.57,0,0
6,Bhuvneshar Kumar,RCB,5,5,7,8.7,159,3--27,20,120,43,174,24.85,0,0
7,Krunal Pandya,RCB,5,5,7,9.17,195.4,2--30,17,102,32,156,22.28,0,0
8,Kagiso Rabada,GT,5,5,7,10.05,205.6,3--29,19,114,47,191,27.28,0,0
9,Vaibhav Arora,KKR,6,5,7,11.35,159.9,2--38,20,120,43,227,32.42,0,0
10,Rashid Khan,GT,5,5,6,7.7,177.6,3--17,20,120,43,154,25.66,0,0
11,Ashok Sharma,GT,5,5,6,10.55,115.2,2--32,18,108,45,190,31.66,0,0
12,Jacob Duffy,RCB,3,3,6,11.5,171.4,3--22,12,72,30,138,23,0,0
13,Shardul Thakur,MI,5,5,6,13.57,128.3,3--39,14,84,17,190,31.66,0,0
14,Rasikh Salam,RCB,2,2,5,6.87,95.4,4--24,6.5,41,21,47,9.4,1,0
15,Lungi Ngidi,DC,4,4,5,8.04,160.9,3--27,15.4,94,34,126,25.2,0,0
