venue_stadium,city,state,country,capacity
Narendra Modi Stadium,Ahmedabad,Gujrat,India,132000
Wankhede Stadium,Mumbai,Maharashtra,India,33108
Eden Gardens,Kolkata,West Bengal,India,68000
MA Chidambaram Stadium,Chennai,Tamil Nadu,India,50000
Arun Jaitley Stadium,New Delhi,Delhi,India,41000
New PCA Cricket Stadium,Chandigarh,Punjab,India,38000
Ekana Cricket Stadium,Lucknow,Uttar Pradesh,India,50000
Rajiv Gandhi International Stadium,Hyderabad,Telangana,India,55000
M. Chinnaswamy Stadium,Bengaluru,Karnataka,India,33800
Barsapara Stadium,Guwahati,Assam,India,46000
Sawai Mansingh Stadium,Jaipur,Rajasthan,India,30000
HPCA Stadium,Dharamshala,Himachal Pradesh,India,23000
